card,number,status,spirit_voice,notes
The Fool,0,approved,"No map, no plan, no safety net. The start of every good story.",user-edited final
The Magician,I,approved,"Nothing here is chance. Every piece, placed exactly where it needed to be.",user-edited final round 7 (app-fit tweak)
The High Priestess,II,approved,"The truth isn't hiding, it's waiting for someone quiet enough to hear it.",approved round 4; horoscope-principle exemplar
The Empress,III,approved,"The world is feeling generous tonight. It would be rude not to accept.",graded well round 2
The Emperor,IV,approved,"Every empire began with someone who refused to leave things to chance.",approved round 3
The Hierophant,V,approved,"The old ways have outlasted every clever new idea. That is no accident.",approved round 3; the register calibration example
The Lovers,VI,approved,"The heart made its choice long before the head was consulted.",graded perfect round 2
The Chariot,VII,approved,"They call the stubborn impossible. Until the victory lap, that is.",user-edited final round 7
Strength,VIII,approved,"Anything can be tamed with a soft enough touch. Even that.",approved round 4
The Hermit,IX,approved,"Silence has a way of saying more than the room ever did.",
Wheel of Fortune,X,approved,"Luck has been circling for a while. Tonight, it lands.",graded perfect round 2
Justice,XI,approved,"The scales take their time, but they never lose count.",approved round 4
The Hanged Man,XII,approved,"Bit stuck, are we? Good. Some things can only be seen from down here.",user-edited final round 7
Death,XIII,approved,"All things must come to an end. The interesting part is what comes next.","user-edited final; alt retained for prototype-stage decision: ""Everything ends. The interesting part is what comes next."""
Temperance,XIV,approved,"Restraint, of all things, turns out to be where the finest pleasures hide.",approved round 6
The Devil,XV,draft,"Everyone has a price. It appears tonight found yours.","primary per user round 5; final call at showcase flow; contenders: ""Temptation only wins when it knows exactly what to offer. And it knows."" / ""Finally, a little indulgence. Come on, let's be bad."" / ""Everyone has a price. Temptation, to its credit, never guesses wrong."""
The Tower,XVI,approved,"A spectacular downfall. Strange how light one feels in the rubble.",
The Star,XVII,approved,"Even the longest night runs out of dark eventually.","r5 version restored round 7 (the bare trim felt incomplete); optional micro-variant if the echo ever bothers again: comma before ""eventually"" turns it into a spoken afterthought"
The Moon,XVIII,approved,"Things are not as they seem tonight. Good. They rarely are.",the gold standard; em-dash-free variant selected by user round 5
The Sun,XIX,approved,"Every so often, the world simply says yes.",approved round 5
Judgement,XX,draft,"Old chapters don't stay closed forever. Seems a reckoning's afoot.","promoted to primary round 7 (sexier, more mysterious); tossup with alt, final call when lenses are paired: ""Everyone dreads the reckoning, but a second chance doesn't knock twice."""
The World,XXI,approved,"Every last piece, finally in place. This is what the whole road was for.",approved round 3
Ace of Wands,W01,draft,"The first spark never asks if the timing is right. It just catches.","alts: ""Every wildfire in history began as one small, stubborn spark."" / ""Something new wants in. It picked its moment well."""
